,Algeria,Angola,Argentina,Australia,Bahamas,Benin,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,Colombia,Congo,Costa Rica,Côte d'Ivoire,Democratic Republic of the Congo,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,France,Gabon,Ghana,Guinea,Guinea-Bissau,Haiti,Honduras,India,Iran (Islamic Republic of),Ireland,Italy,Jamaica,Kenya,Latvia,Lesotho,Liberia,Malawi,Malaysia,Mali,Mauritania,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Nicaragua,Niger,Nigeria,Panama,Paraguay,Peru,Romania,Rwanda,Senegal,Serbia,Sierra Leone,Somalia,South Africa,South Sudan,Spain,Sudan,Swaziland,Sweden,Thailand,Togo,Uganda,Ukraine,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe,Global
1990,1400.0,14000.0,42000.0,16000.0,1500.0,5200.0,51000.0,150000.0,140000.0,13000.0,1500.0,50000.0,43000.0,25000.0,9600.0,19000.0,40000.0,2000.0,250000.0,300000.0,23000.0,6600.0,7600.0,4600.0,2400.0,340000.0,77000.0,6500.0,110000.0,29000.0,1000.0,140000.0,17000.0,160000.0,2800.0,1100.0,32000.0,9600.0,690000.0,1000.0,9700.0,28000.0,450000.0,9600.0,44000.0,1100.0,67000.0,1300.0,99000.0,10000.0,12000.0,7500.0,2700.0,11000.0,800000.0,4400.0,1200.0,69000.0,7500.0,72000.0,5700.0,1100.0,7700.0,3100.0,130000.0,1100.0,84000.0,2000.0,6900.0,4300.0,180000.0,23000.0,1200000.0,12000.0,640000.0,5300.0,340000.0,760000.0,8900000.0
1991,1600.0,18000.0,46000.0,15000.0,1900.0,8100.0,72000.0,170000.0,150000.0,19000.0,4200.0,69000.0,65000.0,30000.0,10000.0,28000.0,50000.0,2200.0,300000.0,330000.0,33000.0,8600.0,8800.0,5000.0,3700.0,440000.0,79000.0,8900.0,160000.0,38000.0,1400.0,150000.0,21000.0,250000.0,3200.0,1300.0,43000.0,13000.0,870000.0,1700.0,18000.0,32000.0,510000.0,29000.0,50000.0,1600.0,74000.0,1600.0,130000.0,25000.0,19000.0,7500.0,3500.0,14000.0,930000.0,6000.0,1500.0,72000.0,7700.0,86000.0,7100.0,1200.0,9000.0,4400.0,230000.0,2100.0,87000.0,2600.0,14000.0,4400.0,320000.0,30000.0,1300000.0,15000.0,770000.0,7700.0,420000.0,900000.0,10700000.0
1992,1700.0,23000.0,50000.0,15000.0,2300.0,12000.0,97000.0,190000.0,170000.0,28000.0,12000.0,94000.0,90000.0,36000.0,11000.0,38000.0,59000.0,2300.0,360000.0,360000.0,45000.0,11000.0,10000.0,5400.0,5400.0,550000.0,81000.0,12000.0,210000.0,47000.0,2000.0,160000.0,24000.0,380000.0,3600.0,1400.0,53000.0,16000.0,1000000.0,2800.0,32000.0,37000.0,570000.0,47000.0,56000.0,2200.0,81000.0,2000.0,180000.0,42000.0,30000.0,7500.0,4300.0,18000.0,1100000.0,7600.0,1900.0,76000.0,7800.0,98000.0,8800.0,1300.0,10000.0,6000.0,390000.0,3900.0,88000.0,3500.0,26000.0,4500.0,450000.0,38000.0,1300000.0,20000.0,900000.0,11000.0,520000.0,1000000.0,12500000.0
1993,1900.0,28000.0,53000.0,15000.0,2800.0,17000.0,130000.0,210000.0,180000.0,39000.0,26000.0,120000.0,120000.0,43000.0,12000.0,48000.0,68000.0,2500.0,420000.0,390000.0,57000.0,13000.0,11000.0,5900.0,7300.0,670000.0,82000.0,15000.0,270000.0,57000.0,2800.0,160000.0,28000.0,540000.0,3900.0,1600.0,63000.0,20000.0,1200000.0,3800.0,51000.0,41000.0,620000.0,58000.0,61000.0,2900.0,88000.0,2400.0,240000.0,56000.0,44000.0,7600.0,5200.0,23000.0,1200000.0,8900.0,2300.0,78000.0,7900.0,110000.0,11000.0,1300.0,12000.0,7900.0,620000.0,6800.0,89000.0,4500.0,42000.0,4500.0,540000.0,47000.0,1300000.0,29000.0,1000000.0,15000.0,600000.0,1200000.0,14500000.0
1994,2200.0,34000.0,55000.0,14000.0,3300.0,22000.0,160000.0,220000.0,180000.0,53000.0,45000.0,160000.0,140000.0,49000.0,13000.0,59000.0,74000.0,2700.0,470000.0,420000.0,69000.0,15000.0,13000.0,6300.0,9200.0,790000.0,82000.0,20000.0,330000.0,66000.0,3800.0,160000.0,31000.0,740000.0,4400.0,1800.0,72000.0,23000.0,1400000.0,4500.0,75000.0,45000.0,680000.0,67000.0,67000.0,3800.0,94000.0,2900.0,310000.0,71000.0,62000.0,7700.0,6100.0,29000.0,1400000.0,9600.0,2800.0,79000.0,8000.0,120000.0,13000.0,1400.0,13000.0,10000.0,950000.0,11000.0,88000.0,5700.0,61000.0,4600.0,610000.0,57000.0,1300000.0,42000.0,1200000.0,19000.0,690000.0,1300000.0,16700000.0
1995,2400.0,41000.0,58000.0,14000.0,3700.0,28000.0,190000.0,240000.0,190000.0,68000.0,65000.0,200000.0,160000.0,56000.0,13000.0,69000.0,78000.0,2900.0,530000.0,450000.0,81000.0,17000.0,14000.0,6800.0,11000.0,910000.0,83000.0,24000.0,370000.0,74000.0,5300.0,160000.0,34000.0,960000.0,5100.0,2000.0,80000.0,25000.0,1500000.0,5000.0,100000.0,50000.0,740000.0,74000.0,73000.0,4900.0,100000.0,3600.0,390000.0,87000.0,81000.0,7900.0,6900.0,35000.0,1700000.0,10000.0,3400.0,80000.0,8100.0,140000.0,16000.0,1300.0,14000.0,12000.0,1400000.0,18000.0,87000.0,7000.0,81000.0,4700.0,650000.0,68000.0,1300000.0,61000.0,1300000.0,24000.0,760000.0,1300000.0,18800000.0
1996,2700.0,48000.0,60000.0,14000.0,4100.0,33000.0,210000.0,250000.0,190000.0,83000.0,83000.0,240000.0,180000.0,62000.0,14000.0,79000.0,81000.0,3200.0,570000.0,480000.0,91000.0,18000.0,15000.0,7400.0,13000.0,1000000.0,85000.0,29000.0,410000.0,81000.0,7100.0,160000.0,36000.0,1200000.0,6500.0,2200.0,85000.0,27000.0,1600000.0,5400.0,130000.0,55000.0,790000.0,81000.0,78000.0,6100.0,110000.0,4300.0,480000.0,100000.0,100000.0,8300.0,7800.0,41000.0,1900000.0,10000.0,4100.0,80000.0,8200.0,160000.0,19000.0,1300.0,15000.0,15000.0,1800000.0,28000.0,86000.0,8400.0,100000.0,4900.0,680000.0,79000.0,1300000.0,85000.0,1400000.0,29000.0,820000.0,1400000.0,21000000.0
1997,3000.0,56000.0,63000.0,14000.0,4400.0,38000.0,240000.0,280000.0,190000.0,96000.0,97000.0,280000.0,190000.0,68000.0,15000.0,87000.0,82000.0,3400.0,610000.0,500000.0,99000.0,20000.0,16000.0,8100.0,15000.0,1100000.0,88000.0,34000.0,430000.0,85000.0,9400.0,160000.0,37000.0,1400000.0,8800.0,2500.0,89000.0,28000.0,1700000.0,5700.0,160000.0,61000.0,840000.0,88000.0,84000.0,7400.0,110000.0,5100.0,570000.0,120000.0,120000.0,9000.0,8500.0,47000.0,2100000.0,11000.0,4900.0,79000.0,8300.0,180000.0,22000.0,1300.0,17000.0,17000.0,2300000.0,40000.0,88000.0,9800.0,120000.0,5100.0,690000.0,90000.0,1200000.0,110000.0,1400000.0,34000.0,860000.0,1500000.0,23000000.0
1998,3300.0,64000.0,66000.0,14000.0,4700.0,43000.0,260000.0,300000.0,180000.0,110000.0,100000.0,320000.0,200000.0,74000.0,17000.0,94000.0,82000.0,3700.0,640000.0,510000.0,100000.0,21000.0,17000.0,9000.0,17000.0,1100000.0,92000.0,39000.0,450000.0,88000.0,12000.0,150000.0,37000.0,1700000.0,12000.0,2700.0,93000.0,30000.0,1800000.0,6000.0,180000.0,65000.0,880000.0,93000.0,89000.0,8800.0,120000.0,6000.0,680000.0,140000.0,140000.0,9900.0,9200.0,53000.0,2300000.0,11000.0,5700.0,79000.0,8500.0,200000.0,26000.0,1200.0,19000.0,20000.0,2800000.0,55000.0,91000.0,11000.0,130000.0,5300.0,700000.0,99000.0,1200000.0,130000.0,1500000.0,39000.0,890000.0,1500000.0,24800000.0
1999,3700.0,74000.0,69000.0,14000.0,4900.0,47000.0,280000.0,320000.0,170000.0,110000.0,110000.0,360000.0,200000.0,80000.0,18000.0,100000.0,80000.0,4100.0,660000.0,530000.0,110000.0,21000.0,18000.0,9900.0,18000.0,1100000.0,96000.0,43000.0,450000.0,90000.0,15000.0,150000.0,37000.0,1900000.0,15000.0,3000.0,98000.0,30000.0,1800000.0,6200.0,200000.0,68000.0,910000.0,98000.0,94000.0,10000.0,120000.0,7100.0,790000.0,170000.0,160000.0,11000.0,9800.0,58000.0,2600000.0,11000.0,6400.0,78000.0,8600.0,210000.0,30000.0,1200.0,21000.0,22000.0,3200000.0,71000.0,93000.0,13000.0,150000.0,5500.0,690000.0,110000.0,1200000.0,150000.0,1500000.0,44000.0,920000.0,1500000.0,26400000.0
